Financial Head,Year 1 (Original),Year 1 (Revised),Year 2 (Original),Year 2 (Revised),Year 3 (Original),Year 3 (Revised)
Active Outlets,100,60,250,150,367,250
Franchise Royalty (6%) (₹ Cr),15.30,9.18,42.00,25.20,67.60,46.00
One-Time Franchise Fees (₹ Cr),10.00,6.00,15.00,9.00,11.70,10.00
Spirits Supply Margin (15%) (₹ Cr),12.00,7.20,27.00,16.20,40.00,28.00
Retail Market Off-Trade (₹ Cr),29.20,15.00,55.00,30.00,85.00,50.00
Gross Consolidated Revenue (₹ Cr),66.50,37.38,139.00,80.40,204.30 - 285.00,134.00
Central Overhead & Marketing (₹ Cr),51.50,27.38,94.00,57.40,126.30,98.00
EBITDA (₹ Cr),15.00 (22.5%),10.00 (26.7%),45.00 (32.3%),23.00 (28.6%),78.00 (38.2%),36.00 (26.9%)
Target Valuation Multiple,10.0x,8.0x,10.0x,8.0x,10.0x,8.0x
Enterprise Valuation (₹ Cr),150.00,80.00,450.00,184.00,780.00,288.00
Investor 25% Stake Value (₹ Cr),37.50,20.00,112.50,46.00,195.00,72.00
Investor MOIC (on ₹18 Cr),2.08x,1.11x,6.25x,2.55x,10.83x,4.00x
