Scenario Dimension,Bear Case (Conservative),Base Case (Target Realistic),Bull Case (High Momentum)
Year 3 Active Outlets,150 Outlets,220 Outlets,367 Outlets
Avg Monthly Revenue per Outlet (₹ L),40.0 Lakh,50.86 Lakh,60.0 Lakh
Franchise Royalty + Supply Margin (₹ Cr),36.0 Cr,68.0 Cr,107.6 Cr
Retail Off-Trade Sales (₹ Cr),25.0 Cr,50.0 Cr,85.0 Cr
Total Gross Revenue (₹ Cr),61.0 Cr,118.0 Cr,192.6 Cr
Consolidated EBITDA (₹ Cr),15.25 Cr (25%),31.86 Cr (27%),78.0 Cr (40%)
EBITDA Valuation Multiple,6.0x,8.0x,10.0x
Enterprise Valuation (₹ Cr),91.5 Cr,254.9 Cr,780.0 Cr
Investor 25% Equity Value (₹ Cr),22.88 Cr,63.72 Cr,195.0 Cr
Investor Return Multiple (MOIC),1.27x,3.54x,10.83x
Estimated 3-Year IRR (%),8.3%,52.4%,121.2%
